pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
574=0.072s (0.0344)/287=0.036s (0.0239)
576=0.072s (-0.0398)/288=0.036s (0.0317)
578=0.072s (0.0403)/289=0.036s (-0.0188)
580=0.073s (-0.0877)/290=0.036s (-0.0285)
582=0.073s (0.0222)/291=0.036s (-0.00976)
584=0.073s (-0.0276)/292=0.037s (-0.00572)
586=0.073s (-0.0218)/293=0.037s (-0.0201)
588=0.074s (0.0222)/294=0.037s (0.0174)
590=0.074s (-0.0916)/295=0.037s (0.0336)
592=0.074s (0)/296=0.037s (0.0129)
594=0.074s (0.028)/297=0.037s (-0.00208)
596=0.075s (0.092)/298=0.037s (-0.00375)
598=0.075s (0.0222)/299=0.037s (0.0102)
600=0.075s (0.0647)/300=0.038s (-0.0426)
602=0.075s (0.0154)/301=0.038s (-0.041)
604=0.076s (0.0578)/302=0.038s (-0.00467)
606=0.076s (-0.0799)/303=0.038s (0.00584)
608=0.076s (0.0725)/304=0.038s (0.012)
610=0.076s (0.0647)/305=0.038s (0.012)
612=0.077s (0.115)/306=0.038s (0.0464)
614=0.077s (0.0647)/307=0.038s (0.0297)
616=0.077s (0.145)/308=0.039s (-0.0204)
618=0.077s (0.0881)/309=0.039s (-0.0223)
620=0.078s (0.0578)/310=0.039s (-0.0473)
622=0.078s (0.0803)/311=0.039s (-0.0293)
624=0.078s (0.0578)/312=0.039s (-0.0379)
626=0.078s (-0.0916)/313=0.039s (-0.0201)
628=0.079s (-0.0218)/314=0.039s (0.0398)
630=0.079s (0.028)/315=0.039s (-0.0115)
632=0.079s (-0.0457)/316=0.040s (-0.0181)
634=0.079s (0.0154)/317=0.040s (-0.00296)
636=0.080s (-0.0877)/318=0.040s (-0.0047)
638=0.080s (-0.0799)/319=0.040s (0.0181)
640=0.080s (-0.0515)/320=0.040s (0.00164)
642=0.080s (0.104)/321=0.040s (0.0137)
644=0.081s (-0.0515)/322=0.040s (0.0151)
646=0.081s (0.0222)/323=0.040s (0.0255)
648=0.081s (0.0803)/324=0.041s (-0.0248)
650=0.081s (0.009)/325=0.041s (-0.0145)
652=0.082s (0.104)/326=0.041s (-0.00633)
654=0.082s (0.052)/327=0.041s (-0.0433)
656=0.082s (0.092)/328=0.041s (-0.0246)
658=0.082s (0.104)/329=0.041s (-0.0103)
660=0.083s (0.115)/330=0.041s (0.0504)
662=0.083s (-0.0515)/331=0.041s (0.0606)
664=0.083s (-0.034)/332=0.042s (0.0543)
666=0.083s (0.0461)/333=0.042s (0.0815)
668=0.084s (0.092)/334=0.042s (0.0908)
670=0.084s (0.0647)/335=0.042s (0.0905)
672=0.084s (-0.0877)/336=0.042s (0.0746)
674=0.084s (-0.16)/337=0.042s (0.0448)
676=0.085s (-0.0642)/338=0.042s (-0.000681)
678=0.085s (0.104)/339=0.042s (-0.00393)
680=0.085s (0.092)/340=0.043s (0.0423)
682=0.085s (0.145)/341=0.043s (0.00518)
684=0.086s (0.0725)/342=0.043s (-0.057)
686=0.086s (0.092)/343=0.043s (0.0224)
