pv parameters:
R = 10000
N = 256
Nw = 256
D = 1
I = 2
P = 1
Np = 0
synt = 0
194=0.019s (0.000702)/388=0.039s (0.000811)
195=0.020s (0.00168)/390=0.039s (0.00111)
196=0.020s (0.00168)/392=0.039s (0.000953)
197=0.020s (0.00168)/394=0.039s (0.000377)
198=0.020s (0.00168)/396=0.040s (0.000287)
199=0.020s (0.00119)/398=0.040s (0.000609)
200=0.020s (0.000702)/400=0.040s (0.000292)
201=0.020s (0.00119)/402=0.040s (0.000135)
202=0.020s (0.00168)/404=0.040s (5.9e-006)
203=0.020s (0.00168)/406=0.041s (-0.000268)
204=0.020s (0.00168)/408=0.041s (-0.000318)
205=0.021s (0.00168)/410=0.041s (-0.00108)
206=0.021s (0.00168)/412=0.041s (4.3e-005)
207=0.021s (0.00266)/414=0.041s (0.000307)
208=0.021s (0.00217)/416=0.042s (-0.000206)
209=0.021s (0.00217)/418=0.042s (0.000111)
210=0.021s (0.00217)/420=0.042s (-0.00107)
211=0.021s (0.00266)/422=0.042s (-0.000452)
212=0.021s (0.00217)/424=0.042s (-0.000703)
213=0.021s (0.00217)/426=0.043s (-0.000972)
214=0.021s (0.00217)/428=0.043s (-0.000382)
215=0.022s (0.00217)/430=0.043s (0.00012)
216=0.022s (0.00168)/432=0.043s (-0.000269)
217=0.022s (0.00168)/434=0.043s (0.000269)
218=0.022s (0.00168)/436=0.044s (-0.000313)
219=0.022s (0.000702)/438=0.044s (-0.0011)
220=0.022s (0.000702)/440=0.044s (-0.000562)
221=0.022s (0.00168)/442=0.044s (-0.0006)
222=0.022s (0.00168)/444=0.044s (-0.00052)
223=0.022s (0.00168)/446=0.045s (-6.86e-005)
224=0.022s (0.00168)/448=0.045s (0.000632)
225=0.023s (0.00168)/450=0.045s (0.000337)
226=0.023s (0.00168)/452=0.045s (0.000552)
227=0.023s (0.00168)/454=0.045s (0.000591)
228=0.023s (0.00168)/456=0.046s (0.000879)
229=0.023s (0.00168)/458=0.046s (0.000382)
